user_id,game_id,level_id,attempt_id,score,accuracy,time,movements,errors,hints_used,completed,date
U003,G2,G2-L3,A00035,79,79,190,17,0,1,true,2026-08-07T09:42:00
U003,G3,G3-L1,A00036,100,100,30,4,0,0,true,2026-08-07T09:49:00
U003,G3,G3-L2,A00037,82,72,58,5,0,0,true,2026-08-07T09:56:00
U003,G3,G3-L3,A00038,85,80,60,6,1,1,true,2026-08-08T10:03:00
U003,G3,G3-L3,A00039,90,81,60,6,0,0,true,2026-08-08T10:10:00
U003,G3,G3-L3,A00040,91,92,62,7,0,0,true,2026-08-08T10:17:00
U003,G3,G3-L3,A00041,95,100,60,6,1,1,true,2026-08-09T10:24:00
U003,G3,G3-L3,A00042,98,96,60,6,1,0,true,2026-08-09T10:31:00
U004,G1,G1-L1,A00043,49,59,93,7,4,2,true,2026-08-06T09:00:00
U004,G1,G1-L1,A00044,56,69,102,8,4,1,true,2026-08-06T09:07:00
U004,G1,G1-L1,A00045,45,53,66,9,4,2,true,2026-08-06T09:14:00
U004,G1,G1-L1,A00046,63,69,58,6,3,2,true,2026-08-07T09:21:00
U004,G1,G1-L2,A00047,58,61,113,10,3,2,true,2026-08-07T09:28:00
U004,G1,G1-L2,A00048,60,74,105,13,1,2,true,2026-08-07T09:35:00
U004,G1,G1-L3,A00049,65,62,182,17,2,0,true,2026-08-08T09:42:00
U004,G2,G2-L1,A00050,81,100,61,9,1,1,true,2026-08-08T09:49:00
U004,G2,G2-L2,A00051,64,64,130,13,4,1,true,2026-08-08T09:56:00
U004,G2,G2-L3,A00052,82,100,210,21,1,1,true,2026-08-09T10:03:00
U004,G3,G3-L1,A00053,83,91,33,5,4,1,true,2026-08-09T10:10:00
U004,G3,G3-L2,A00054,58,76,55,8,2,3,true,2026-08-09T10:17:00
U004,G3,G3-L2,A00055,94,100,48,5,1,1,true,2026-08-10T10:24:00
U004,G3,G3-L3,A00056,96,93,62,6,0,0,true,2026-08-10T10:31:00
U005,G1,G1-L1,A00057,42,58,99,10,5,2,true,2026-08-07T09:00:00
U005,G1,G1-L1,A00058,40,45,60,8,5,3,true,2026-08-07T09:07:00
U005,G1,G1-L1,A00059,49,62,54,11,3,2,true,2026-08-07T09:14:00
U005,G1,G1-L1,A00060,52,68,60,10,2,2,true,2026-08-08T09:21:00
U005,G1,G1-L1,A00061,59,69,61,7,3,2,true,2026-08-08T09:28:00
U005,G1,G1-L1,A00062,59,63,65,6,4,2,true,2026-08-08T09:35:00
U005,G1,G1-L1,A00063,66,63,59,7,3,0,true,2026-08-09T09:42:00
U005,G1,G1-L2,A00064,61,69,200,10,3,1,true,2026-08-09T09:49:00
U005,G1,G1-L3,A00065,73,72,131,15,2,1,true,2026-08-09T09:56:00
U005,G2,G2-L1,A00066,71,71,70,7,1,1,true,2026-08-10T10:03:00
U005,G2,G2-L2,A00067,68,82,135,13,3,2,true,2026-08-10T10:10:00
U005,G2,G2-L3,A00068,79,89,195,20,1,1,true,2026-08-10T10:17:00
U005,G3,G3-L1,A00069,71,69,49,5,2,0,true,2026-08-11T10:24:00
U005,G3,G3-L2,A00070,56,77,85,7,3,3,true,2026-08-11T10:31:00
U006,G1,G1-L1,A00071,38,52,122,10,5,2,true,2026-08-08T09:00:00
U006,G1,G1-L1,A00072,52,58,79,12,4,0,true,2026-08-08T09:07:00
U006,G1,G1-L1,A00073,65,67,52,7,2,1,true,2026-08-08T09:14:00
U006,G1,G1-L2,A00074,67,71,91,12,4,1,true,2026-08-09T09:21:00
U006,G1,G1-L3,A00075,55,80,168,22,1,3,true,2026-08-09T09:28:00
U006,G1,G1-L3,A00076,66,84,238,15,2,2,true,2026-08-09T09:35:00
U006,G2,G2-L1,A00077,71,87,84,7,3,2,true,2026-08-10T09:42:00
U006,G2,G2-L2,A00078,83,89,130,10,1,1,true,2026-08-10T09:49:00
U006,G2,G2-L3,A00079,85,95,248,19,1,0,true,2026-08-10T09:56:00
U006,G3,G3-L1,A00080,92,89,34,4,1,0,true,2026-08-11T10:03:00
U006,G3,G3-L2,A00081,94,100,48,5,0,1,true,2026-08-11T10:10:00
U006,G3,G3-L3,A00082,96,97,69,6,0,0,true,2026-08-11T10:17:00
U006,G3,G3-L3,A00083,96,100,60,7,1,0,true,2026-08-12T10:24:00
U006,G3,G3-L3,A00084,94,97,60,6,0,1,true,2026-08-12T10:31:00
U007,G1,G1-L1,A00085,48,60,89,8,4,2,true,2026-08-09T09:00:00
U007,G1,G1-L1,A00086,59,75,73,10,2,1,true,2026-08-09T09:07:00
U007,G1,G1-L1,A00087,73,74,54,7,1,0,true,2026-08-09T09:14:00
U007,G1,G1-L2,A00088,70,72,107,12,4,0,true,2026-08-10T09:21:00
U007,G1,G1-L3,A00089,57,74,192,21,3,2,true,2026-08-10T09:28:00
U007,G1,G1-L3,A00090,80,84,127,15,1,1,true,2026-08-10T09:35:00
U007,G2,G2-L1,A00091,81,85,58,7,2,1,true,2026-08-11T09:42:00
U007,G2,G2-L2,A00092,82,92,120,14,1,0,true,2026-08-11T09:49:00
U007,G2,G2-L3,A00093,71,75,187,21,0,1,true,2026-08-11T09:56:00
U007,G3,G3-L1,A00094,99,98,30,4,0,0,true,2026-08-12T10:03:00
U007,G3,G3-L2,A00095,95,100,45,6,1,0,true,2026-08-12T10:10:00
U007,G3,G3-L3,A00096,96,100,60,7,0,0,true,2026-08-12T10:17:00
U007,G3,G3-L3,A00097,79,100,90,7,1,2,true,2026-08-13T10:24:00
U007,G3,G3-L3,A00098,94,100,63,6,1,1,true,2026-08-13T10:31:00
U008,G1,G1-L1,A00099,53,53,48,6,2,3,true,2026-08-10T09:00:00
U008,G1,G1-L1,A00100,55,64,63,6,3,3,true,2026-08-10T09:07:00
U008,G1,G1-L1,A00101,66,80,81,9,3,0,true,2026-08-10T09:14:00
U008,G1,G1-L2,A00102,61,61,150,12,4,0,true,2026-08-11T09:21:00
U008,G1,G1-L3,A00103,63,69,244,15,3,1,true,2026-08-11T09:28:00
U008,G2,G2-L1,A00104,69,79,67,9,2,1,true,2026-08-11T09:35:00
U008,G2,G2-L2,A00105,66,69,120,14,4,1,true,2026-08-12T09:42:00
U008,G2,G2-L3,A00106,67,90,277,29,1,1,true,2026-08-12T09:49:00
U008,G3,G3-L1,A00107,93,92,35,4,0,0,true,2026-08-12T09:56:00
U008,G3,G3-L2,A00108,74,87,47,7,0,2,true,2026-08-13T10:03:00
U008,G3,G3-L3,A00109,78,83,62,8,0,1,true,2026-08-13T10:10:00
U008,G3,G3-L3,A00110,75,86,84,8,1,1,true,2026-08-13T10:17:00
U008,G3,G3-L3,A00111,67,77,72,8,1,2,true,2026-08-14T10:24:00
U008,G3,G3-L3,A00112,89,78,60,6,1,0,true,2026-08-14T10:31:00
U009,G1,G1-L1,A00113,50,67,80,9,4,2,true,2026-08-11T09:00:00
U009,G1,G1-L1,A00114,54,70,67,9,6,2,true,2026-08-11T09:07:00
U009,G1,G1-L1,A00115,62,79,91,8,4,1,true,2026-08-11T09:14:00
U009,G1,G1-L2,A00116,57,67,149,13,2,1,true,2026-08-12T09:21:00
U009,G1,G1-L2,A00117,64,69,78,12,2,2,true,2026-08-12T09:28:00
U009,G1,G1-L3,A00118,64,78,147,19,2,2,true,2026-08-12T09:35:00
U009,G2,G2-L1,A00119,77,87,81,7,3,1,true,2026-08-13T09:42:00
U009,G2,G2-L2,A00120,80,76,103,10,0,1,true,2026-08-13T09:49:00
U009,G2,G2-L3,A00121,77,82,235,21,2,0,true,2026-08-13T09:56:00
U009,G3,G3-L1,A00122,83,81,32,5,2,0,true,2026-08-14T10:03:00
U009,G3,G3-L2,A00123,89,83,52,5,1,0,true,2026-08-14T10:10:00
U009,G3,G3-L3,A00124,90,95,60,8,0,0,true,2026-08-14T10:17:00
U009,G3,G3-L3,A00125,98,100,65,6,0,0,true,2026-08-15T10:24:00
U009,G3,G3-L3,A00126,93,92,70,6,0,0,true,2026-08-15T10:31:00
U010,G1,G1-L1,A00127,21,33,216,27,4,1,true,2026-08-12T09:00:00
U010,G1,G1-L1,A00128,38,43,57,21,4,1,true,2026-08-12T09:07:00
U010,G1,G1-L1,A00129,34,63,134,13,3,3,true,2026-08-12T09:14:00
U010,G1,G1-L1,A00130,37,43,70,11,3,2,true,2026-08-13T09:21:00
U010,G1,G1-L1,A00131,46,65,78,8,4,3,true,2026-08-13T09:28:00
U010,G1,G1-L1,A00132,28,49,172,17,4,2,true,2026-08-13T09:35:00
U010,G1,G1-L1,A00133,50,66,93,8,4,2,true,2026-08-14T09:42:00
U010,G1,G1-L1,A00134,40,58,74,14,5,2,true,2026-08-14T09:49:00
U010,G1,G1-L1,A00135,55,69,65,8,3,2,true,2026-08-14T09:56:00
U010,G1,G1-L1,A00136,48,60,64,10,4,2,true,2026-08-15T10:03:00
U010,G1,G1-L1,A00137,65,73,59,5,4,3,true,2026-08-15T10:10:00
U010,G1,G1-L2,A00138,67,71,88,10,3,2,true,2026-08-15T10:17:00
U010,G1,G1-L3,A00139,63,62,186,15,1,1,true,2026-08-16T10:24:00
U010,G2,G2-L1,A00140,59,58,99,9,4,0,true,2026-08-16T10:31:00
U011,G1,G1-L1,A00141,35,56,96,11,4,3,true,2026-08-13T09:00:00
U011,G1,G1-L1,A00142,21,46,110,14,5,4,true,2026-08-13T09:07:00
U011,G1,G1-L1,A00143,29,46,92,12,5,3,true,2026-08-13T09:14:00
U011,G1,G1-L1,A00144,37,41,126,10,4,1,true,2026-08-14T09:21:00
U011,G1,G1-L1,A00145,35,47,85,9,5,3,true,2026-08-14T09:28:00
U011,G1,G1-L1,A00146,17,33,102,12,6,4,true,2026-08-14T09:35:00
U011,G1,G1-L1,A00147,45,70,75,8,5,4,true,2026-08-15T09:42:00
U011,G1,G1-L1,A00148,41,55,110,9,4,2,true,2026-08-15T09:49:00
U011,G1,G1-L1,A00149,52,65,55,10,2,2,true,2026-08-15T09:56:00
U011,G1,G1-L1,A00150,53,59,79,11,3,0,true,2026-08-16T10:03:00
U011,G1,G1-L1,A00151,52,61,107,8,1,1,true,2026-08-16T10:10:00
U011,G1,G1-L1,A00152,52,62,55,9,4,2,true,2026-08-16T10:17:00
U011,G1,G1-L1,A00153,51,67,91,8,4,2,true,2026-08-17T10:24:00
U011,G1,G1-L1,A00154,68,81,52,7,4,2,true,2026-08-17T10:31:00
U012,G1,G1-L1,A00155,40,53,69,9,5,3,true,2026-08-14T09:00:00
U012,G1,G1-L1,A00156,50,61,63,7,3,3,true,2026-08-14T09:07:00
U012,G1,G1-L1,A00157,62,58,71,7,4,0,true,2026-08-14T09:14:00
U012,G1,G1-L2,A00158,48,58,196,15,5,1,true,2026-08-15T09:21:00
U012,G1,G1-L2,A00159,69,80,103,12,1,1,true,2026-08-15T09:28:00
U012,G1,G1-L3,A00160,69,76,236,17,1,0,true,2026-08-15T09:35:00
U012,G2,G2-L1,A00161,78,83,94,7,0,0,true,2026-08-16T09:42:00
U012,G2,G2-L2,A00162,77,74,121,12,1,0,true,2026-08-16T09:49:00
U012,G2,G2-L3,A00163,83,85,150,19,1,1,true,2026-08-16T09:56:00
U012,G3,G3-L1,A00164,77,81,34,5,1,1,true,2026-08-17T10:03:00
U012,G3,G3-L2,A00165,75,77,45,9,2,0,true,2026-08-17T10:10:00
U012,G3,G3-L3,A00166,74,78,114,6,1,1,true,2026-08-17T10:17:00
U012,G3,G3-L3,A00167,100,100,60,6,0,0,true,2026-08-18T10:24:00
U012,G3,G3-L3,A00168,100,100,60,6,0,0,true,2026-08-18T10:31:00
